"","City","Name","Country","UN.Region.Level.1","UN.Region.Level.2","id","lang","CollectorNm","RespondentID","CollectorID","StartDate","EndDate","IPAddress","EmailAddress","FirstName","LastName","CustomData","q01","q01x","q0201","q0202","q0203","q0204","q03","q04","q04x","q0501a","q0501b","q0502a","q0502b","q0503a","q0503b","q0504a","q0504b","q0505a","q0505b","q0506a","q0506b","q0507a","q0507b","q0508a","q0508b","q05x","q0601","q0602","q0603","q0701","q0702","q0703","q0704","q0705","q0706","q08","q0901","q0902","q10","q10x","q11","q11x","q12","q13","q1401","q14x","q1501","q1502","q1503","q1504","q15x","q1601","q1602","q1603","q1604","q16x","q1701","q17x","q1801","q1802","q1803","q1804","q18x","q19","q19x","q20","q20x","q21","q21x","q22","q23","q2401","q2402","q2403","q2404","q2405","q2501a","q2501b","q2501c","q2501d","q2501e","q2501f","q2502a","q2502b","q2502c","q2502d","q2502e","q2502f","q2503a","q2503b","q2503c","q2503d","q2503e","q2503f","q2504a","q2504b","q2504c","q2504d","q2504e","q2504f","q2505a","q2505b","q2505c","q2505d","q2505e","q2505f","q2506a","q2506b","q2506c","q2506d","q2506e","q2506f","q2507a","q2507b","q2507c","q2507d","q2507e","q2507f","q2508a","q2508b","q2508c","q2508d","q2508e","q2508f","q2509a","q2509b","q2509c","q2509d","q2509e","q2509f","q2510a","q2510b","q2510c","q2510d","q2510e","q2510f","q2511a","q2511b","q2511c","q2511d","q2511e","q2511f","q25x","q2601","q2602","q2603","q2604","q2605","q2606","q2607","q2608","q26x","q27","q28","q29","q29x","q30","q31","q31x","q32a","q32b","q32x","q3301","q3302","q3303","q3304","q3305","q3306","q3307","q3308","q3309","q3310","q33x","q34","q34x","q35","q35x","q3601","q3602","q3603","q3701","q3702","q3703","q3704","q3705","q3706","q3707","q3708","q37x","q3801","q3802","q3803","q3804","q3805","q3806","q3807","q3808","q3809","q3810","q3811","q3812","q3813","q38x","q39","q4001a","q4001b","q4001c","q4001d","q4001e","q4001f","q4002a","q4002b","q4002c","q4002d","q4002e","q4002f","q4003a","q4003b","q4003c","q4003d","q4003e","q4003f","q4004a","q4004b","q4004c","q4004d","q4004e","q4004f","q4005a","q4005b","q4005c","q4005d","q4005e","q4005f","q4006a","q4006b","q4006c","q4006d","q4006e","q4006f","q4007a","q4007b","q4007c","q4007d","q4007e","q4007f","q4008a","q4008b","q4008c","q4008d","q4008e","q4008f","q4009a","q4009b","q4009c","q4009d","q4009e","q4009f","q4010a","q4010b","q4010c","q4010d","q4010e","q4010f","q4011a","q4011b","q4011c","q4011d","q4011e","q4011f","q4012a","q4012b","q4012c","q4012d","q4012e","q4012f","q4013a","q4013b","q4013c","q4013d","q4013e","q4013f","q4014a","q4014b","q4014c","q4014d","q4014e","q4014f","q4015a","q4015b","q4015c","q4015d","q4015e","q4015f","q4016a","q4016b","q4016c","q4016d","q4016e","q4016f","q4017a","q4017b","q4017c","q4017d","q4017e","q4017f","q4018a","q4018b","q4018c","q4018d","q4018e","q4018f","q4019a","q4019b","q4019c","q4019d","q4019e","q4019f","q4020a","q4020b","q4020c","q4020d","q4020e","q4020f","q40x","q41","nQ","iQ","X41","Univ","Answered","Completion"
"1","Abuja","Abuja","Nigeria","Western Africa","Africa",122,"en",,,,,,,,,,,163,"Abuja",,,,,2,,"",,,,1,,,,,,,1,,,,,,"",3000000,"2014","UNFPA","","","","","","",,,5,99,"2.1 Billion",,"",1,2,3,,2,2,12,,"",,,,,"",10,"",,,,,"",1,,3,"",1,,"Federal Capital Territory, Abuja",2,"","","","","",,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,2,,,"",1,1,1,,,,,,"",2,"",1,,"SERVICOM DESK - units within departments that accept complaints of corrupt practices",1,,21,5,"Abuja Madter Plan",,,,,,,,,1,,"",1,"",5,"","Sustenance of policy due to frequent change of political decision makers","Inadequacy of funds","Capacity building of practitoners",,,,,,,,,"",1,1,,,1,1,1,,1,1,,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",62,19.08,,39,"#VALUE!","#VALUE!"
"2","addis ababa","Addis Ababa","Ethiopia","Eastern Africa","Africa",22,"en",,,,,,,,,,,67,"addis ababa",,,,,1,3,"",,,,,,,,,,,1,1,,,,,"",3000000,"2010","world bank/ UNFAP","50","50","67","67","71","71",,12,2,142,"",142,"",1,1,12,,12,12,12,,"",12,12,12,,"",4,"",4,,,,"",1,,2,"",1,,"Region 14",1,"werda","Keftagha","kebale","","",1,4,3,4,4,,2,4,3,4,4,,1,3,2,3,4,,1,1,1,2,3,,2,4,3,3,4,,1,2,2,3,4,,1,2,2,3,3,,1,2,2,3,4,,1,3,2,3,3,,1,3,2,3,4,,2,1,1,1,1,,"",,,,,,1,,,"",2,"",1,,"Some oone who loves his country,loyality, trust wise citezen, random supervion or audit.  stict punshement for those who are corrupted can be a good example for the fellowers.",1,,,,"",,,,,,,,,1,,"",1,"",12,"","over corweded on the road","slums","poor management of  utilities",1,1,1,,,,1,,"",1,1,1,,,,,,,,,,,"",1,2,3,,3,3,,1,1,,1,1,,1,1,,1,1,,2,2,,3,4,,2,2,,3,4,,2,2,,3,4,,1,3,,3,4,,2,3,,1,4,,2,3,,1,4,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,3,,3,4,,2,3,,4,3,,1,3,,3,4,,,,,3,4,,1,1,,3,4,,1,1,,2,4,,1,1,,3,4,,"There is no Underground/metro/sub urban rail - infrastructires in Addis Ababa.","",192,59.08,,40,"#VALUE!","#VALUE!"
"3","Alaverdi","Alaverdi","Armenia","Western Asia","Asia",48,"en",,,,,,,,,,,7,"Alaverdi",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",2058,"2013","","","","","","","",40,,,4,"436.3",4,"443.4",1,1,4,,,,,,"",,9,,,"",6,"",5,,,,"",1,,3,"",2,,"",2,"","","","","",,4,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,4,,,4,,,,,,4,,,,,,4,,,,,,4,,,4,,,,,,,,,4,,,,,"",1,1,1,1,1,,,,"",2,"",1,,"open and transparent work of legislation",1,,,1,"four-year plan",,,,,,,,1,,,"",,"",,"","","","",,,,,,,,,"",1,,,,,1,1,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",54,16.62,,38,"#VALUE!","#VALUE!"
"4","Alfândega da Fé","Alfândega da Fé","Portugal","Southern Europe","Europe",74,"en",,,,,,,,,,,184,"Alfândega da Fé",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"we have a mayor and a câmaar municipal that holds the executive power and a council Assembleia Municipal who surveys executive actions  and have power to aprove the plans and the budget",5000,"2103","INE","2005","60%","2009","60%","2013","60%",160,3,3,43,"8 millions",43,"8 millions",1,1,2,,9,2,2,,"",10,10,2,,"",2,"",2,,2,,"",1,,3,"we have a law about the local finances that define the limits",2,,"",2,"","","","","",,2,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,,,,,,2,,,4,,,3,,,3,,,3,,,3,,,2,,,3,,,4,,,2,,"",1,1,,1,1,,,,"",1,"women",1,,"we have an anti corruption plan that we evaluate each year and report to the Court (Tribunl de Contas) and to the group and corruption",1,,1,2,"Plano Director Municipal",1,1,1,,,,1,1,,,"",3,"",,"","we ae loosing population each year and the population is becoming more and more old","we don´t have jobs to fix the young population so they emigrate","we have few local resources and a very centralised country",1,,1,1,1,,,,"",,,,,1,1,1,,1,1,1,,,"",1,,2,,,3,,,4,,,,,,3,,,,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,4,,,,,,,,,,,,4,,,,,,4,,,3,,,3,,"","",115,35.38,,39,"#VALUE!","#VALUE!"
"5","Alicante","Alicante","Spain","Southern Europe","Europe",216,"es",,,,,,,,,,,66,"Alicante",,,,,1,1,"",,,1,1,,,,,,,,,,,,,"",335052,"2013","INE","2011","146598","2007","144928","","",2095,12,12,43,"243299352,06",43,"258818049,26",1,1,12,,12,12,12,12,"",12,12,12,,"",11,"",11,11,11,,"",,,3,"Cuando el volumen total del capital vivo no exceda del 75 por ciento de los ingresos corrientes liquidados o devengados",,,"Alicante",1,"Juntas de Distrito","","","","",4,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,,,,,,,4,4,4,4,4,,4,4,4,4,4,,"",1,1,1,1,1,,,,"",3,"",2,,"",1,,4,1,"Plan Estratégico",1,1,1,,,,,,,,"",4,"",,"","Combatir el desempleo","Mejorar las infraestructuras sociales","Aumentar la inversión y el crecimiento metropolitano",1,1,1,,1,,,,"",,,,,1,,,,,,,,,"",,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,,3,3,3,,3,3,3,3,3,,"","",215,66.15,,39,"#VALUE!","#VALUE!"
"6","Amsterdam","Amsterdam","The Netherlands","Western Europe","Europe",139,"en",,,,,,,,,,,165,"Amsterdam",,,,,1,3,"",,,,1,,,,,,,,,,,1,,"Board of Mayor and Aldermen",813562,"2014","","2006","52,7 %","2010","51,4 %","2014","50,3 %",12900,12,12,43,"3,883 million",43,"2,334 million",1,2,2,,12,12,12,12,"",1,4,2,,"",8,"80",8,1,2,1,"",1,,3,"rules stemming from the European Monetary Union",2,,"",2,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tool in this section does not work",1,1,,1,,,,,"",2,"",1,,"Internal affairs office",1,,4,5,"Structuurvisie Amsterdam 2040",1,1,1,1,,,1,1,,,"",1,"Cooperation of Amsterdam and surrounding municipalities",8,"","economic growth","sustainability","inclusive development",,,,1,1,,,,"",,,,,,,,,,,,,,"none of these is a serious constraint",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tool does not work","",75,23.08,,38,"#VALUE!","#VALUE!"
"7","Antananarivo","Antananarivo","Madagascar","Eastern Africa","Africa",222,"fr",,,,,,,,,,,141,"Antananarivo",,,,,1,3,"",1,,,1,1,1,1,,,,1,1,,,,,"",1230915,"2011","Institut National de la Statistique Madagascar","2013","5800.00%","2007","7500.00%","2006","6600.00%",,,3,87,"19 451 000 000",87,"20 543 000 000",1,2,11,,5,5,1,4,"Diverses autorisations",1,1,1,,"",3,"",2,1,3,,"",1,,1,"",2,,"",1,"Arrondissement","Fokontany ou ensemble de quartier","","","",1,4,1,1,4,1,1,4,1,1,4,1,2,3,1,1,4,1,1,3,1,1,4,1,1,4,1,1,1,1,2,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,1,1,1,4,1,2,4,1,4,4,1,1,3,1,3,4,1,"",1,,1,,1,,,,"",2,"",1,,"Dénonciation auprès du BIANCO Bureau Indépendant Anti-Corruption",2,,,,"",,,,,,,,,1,,"",3,"",,"","","","",,,1,,,,1,,"",,1,,,1,1,1,1,1,1,,,,"",1,1,4,1,1,1,1,,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,1,1,4,1,1,1,1,1,3,1,1,4,1,1,3,1,1,4,1,,,,,,,,,,,,,1,3,1,2,3,1,"","",206,63.38,,38,"#VALUE!","#VALUE!"
"8","Arlington, MA","Arlington","United States of America","Northern America","Northern America",10,"en",,,,,,,,,,,233,"Arlington, MA",,,,,2,,"",,,,1,,,1,,,,,,,,,,"",43305,"2012","U.S. Census Bureau ACS 3 Year estimates","","","","","","",500,12,12,142,"$133,075,068",142,"$133,075,068",1,1,10,,9,2,2,,"",3,1,1,,"",3,"",2,2,1,,"",1,,2,"",2,,"",2,"","","","","",,,3,4,,,,4,,,,,,3,,2,,,,2,,4,,,,3,,2,,,,,,,,4,,2,,,,,,4,,,,,,3,,3,,,,4,,,,,,3,2,,,,"",1,1,1,1,,,,,"",2,"",1,,"",1,,1,5,"Arlington's Master Plan",1,,1,,,,1,1,,,"",1,"",5,"","Lack of financial resources","aging school infrastructure","lack of developable land",,,,,1,,,,"",1,,,,1,1,,,,,,,,"",1,,4,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,4,,,,,,4,,,,,,3,,2,,,,3,,2,,,,2,,4,,,,,,4,,,,3,,,,,"","",94,28.92,,38,"#VALUE!","#VALUE!"
"9","Asker municipality","Asker","Norway","Northern Europe","Europe",113,"en",,,,,,,,,,,166,"Asker municipality",,,,,1,2,"",,,,1,,1,,,,,,,,,1,,"Chief Executive Officer emplyed by the municipal council",58000,"2013","National statistics","2011","70%","2007","67%","2003","66%",3811,12,12,101,"3.906.366.511",101,"3.968.265.022",2,1,8,,8,3,3,,"",2,1,,2,"",3,"",3,,2,,"",1,,1,"",1,,"Akershus County",2,"","","","","",,3,2,,3,,,4,2,,2,,,4,2,,1,,,4,1,,2,,,4,2,,2,,,4,2,,1,,,4,1,,2,,,3,2,,1,,,4,3,,2,,,3,2,,1,,,4,3,,1,,"",1,1,1,1,1,,,,"",1,"Gender",1,,"Contol committee  Ethical guidelines  Procedures for notification of suspicion",1,,1,3,"Municipal master plan",1,1,1,1,1,1,1,1,,,"",4,"",,"","Rapid population growth","Transportation","Housing",,,1,,,,,,"",,,,,,,,,,,,1,,"Lack of national funding for national roads through the municipality",1,,4,2,,3,,,3,3,,3,,,,,,,,,2,4,,1,,,2,,,,,,2,4,,1,,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,4,,,2,1,,4,,,4,2,,1,,,4,2,,1,,,2,4,,4,,,1,4,,3,,,2,2,,4,,,1,1,,4,,,2,3,,4,,"","",150,46.15,,40,"#VALUE!","#VALUE!"
"10","Auckland Council","Auckland","New zealand","Melanesia","Oceania",14,"en",,,,,,,,,,,170,"Auckland Council",,,,,1,1,"",,,1,1,,,,,,,,,,,,,"",1400000,"2013","Statistics New Zealand","2013","36%","2010","51%","","",8100,1,1,103,"5 billion",103,"3.3 billion",1,1,10,,6,5,2,2,"",,3,,,"",11,"17.8",3,1,11,,"",1,,1,"We have self imposed limits but there is no legal limit",2,,"",1,"21 Local Boards","","","","",2,,,4,3,,2,,,4,2,,1,,,2,3,,1,,,1,4,,2,,,3,3,,2,,,4,2,,1,,,1,4,,1,,,1,4,,1,,,2,3,,1,,,1,4,,3,,,4,2,,"",1,1,1,1,,,,,"",2,"",1,,"",1,,3,6,"Auckland Plan",1,1,1,,1,,1,1,,,"",2,"Auckland Transport is a council controlled organisation",1,"I cannot select more than one option for this question - Auckland Transport manages Cycling, motorbike, tram, bus, suburban rail, local roads, larger roads, traffic management","NIMBYism and deregulation","House price growth","Infrastructure funding",,,1,1,,,,,"8 local authorities were recently amalgamated into one city government.",,1,,,1,,1,1,,,1,,,"",1,2,,,4,1,,2,,,4,1,,2,,,3,2,,1,,,2,2,,1,,,2,3,,2,,,4,2,,1,,,4,1,,2,,,4,2,,1,,,4,1,,2,,,3,3,,1,,,3,2,,2,,,3,3,,1,,,3,2,,3,,,4,1,,1,,,4,1,,2,,,4,1,,1,,,4,1,,1,,,2,4,,1,,,1,4,,1,,,2,3,,"","",168,51.69,,39,"#VALUE!","#VALUE!"
