Name,Country,UN Region Level 1,UN Region Level 2,Population,POINT_X,POINT_Y,GDP ($PPP 2013),GDP/Capita (per country) 2013 - World Bank Data,Expenditure,Revenue,Voters Turnout (latest election),Policy sectors count,Local policies count,Size
Abuja,Nigeria,Western Africa,Africa,1405201,7.483333,9.066667,7000000000,3005.5,1050000000,n/a,n/a,n/a,3,1m - 5m
Addis Ababa,Ethiopia,Eastern Africa,Africa,3104000,38.75776,8.980603,2210000000,505,n/a,n/a,50.0%,7,0,1m - 5m
Alaverdi,Armenia,Western Asia,Asia,13180,44.659063,41.091873,436.3,3090,n/a,n/a,n/a,9,5,<0.5m
Alfândega da Fé,Portugal,Southern Europe,Europe,5000,-6.960181,41.344363,5120000,21738.3,6400000,6400000,60.0%,7,4,<0.5m
Alicante,Spain,Southern Europe,Europe,335052,-0.490686,38.345996,218969424.9,29882.1,243299357.4,232936244.3,43.7500%,10,5,<0.5m
Amsterdam,The Netherlands,Western Europe,Europe,813562,4.895168,52.370216,3844170,50792.5,4271300000,2567400000,52.700%,n/a,3,0.5m - 1m
Antananarivo,Madagascar,Eastern Africa,Africa,1391433,47.516667,-18.933333,6003745,463,5835300000,6162900000,58.00%,10,3,1m - 5m
Arlington,United States of America,Northern America,Northern America,43305,-97.108066,32.735687,133075068,53042,133075068,133075068,n/a,7,4,<0.5m
Artik,Armenia,Western Asia,Asia,19534,43.975833,40.617222,776547,3090,5859549767,5952397533,62.00%,n/a,5,<0.5m
Asker,Norway,Northern Europe,Europe,58000,10.437209,59.833334,498384995,100898.4,6000000000,3960000000,70.0%,11,5,<0.5m
Auckland,New zealand,Melanesia,Oceania,1400000,174.763332,-36.84846,3436400000,41824.3,60282652.55,63259505.93,36.00%,n/a,4,1m - 5m
Aviles,Spain,Southern Europe,Europe,82427,-5.924665,43.557952,60282660.6,29882.1,1240524780,1244837490,64.200%,10,5,<0.5m
Barcelona,Spain,Southern Europe,Europe,1611822,2.173404,41.385064,1850850,29882.1,2056500000,2250180000,53.00%,8,4,1m - 5m
Bilbao,Spain,Southern Europe,Europe,347278,-2.934985,43.263013,393568341.3,29882.1,393568333.5,414026266.8,61.1400%,7,4,<0.5m
Blumenau,Brazil,South America,Latin America and the Caribbean,324767,-49.071743,-26.916621,303259685,15898,653413917.1,653413917.1,84.4600%,10,3,<0.5m
Budapest,Hungary,Eastern Europe,Europe,1732000,19.040235,47.497912,1130364707,13485.5,n/a,n/a,43.5900%,6,4,1m - 5m
Cantagalo ,Brazil,South America,Latin America and the Caribbean,19870,-42.362576,-21.980272,24541995,15898,52852410.03,53287515.05,87.00%,5,5,<0.5m
